task,block,file,word,condition
Repetition,Block1,x098adorable.wav,adorable,speak
Repetition,Block1,x096adult.wav,adult,speak
Repetition,Block1,x002alcoholic.wav,alcoholic,speak
Repetition,Block1,x090alive.wav,alive,speak
Repetition,Block1,x103ancient.wav,ancient,speak
Repetition,Block1,x071animate.wav,animate,speak
Repetition,Block1,x073atypical.wav,atypical,speak
Repetition,Block1,x032background.wav,background,speak
Repetition,Block1,x015beauty.wav,beauty,speak
Repetition,Block1,x008black.wav,black,speak
Repetition,Block1,x025bright.wav,bright,speak
Repetition,Block1,x082brutal.wav,brutal,speak
Repetition,Block1,x037carefree.wav,carefree,speak
Repetition,Block1,x013circle.wav,circle,speak
Repetition,Block1,x044cold.wav,cold,speak
Repetition,Block1,x055comedy.wav,comedy,speak
Repetition,Block1,x083concrete.wav,concrete,speak
Repetition,Block1,x099consonent.wav,consonant,speak
Repetition,Block1,x061coward.wav,coward,speak
Repetition,Block1,x009deceit.wav,deceit,speak
Repetition,Block1,x078depressed.wav,depressed,speak
Repetition,Block1,x046devil.wav,devil,speak
Repetition,Block1,x005devoted.wav,devoted,speak
Repetition,Block1,x012discomfort.wav,discomfort,speak
Repetition,Block1,x050elated.wav,elated,speak
Repetition,Block1,x020empty.wav,empty,speak
Repetition,Block1,x077engaged.wav,engaged,speak
Repetition,Block1,x065evening.wav,evening,speak
Repetition,Block1,x101fat.wav,fat,speak
Repetition,Block1,x035festive.wav,festive,speak
Repetition,Block1,x048fork.wav,fork,speak
Repetition,Block1,x045free.wav,free,speak
Repetition,Block1,x038friend.wav,friend,speak
Repetition,Block1,x003friendly.wav,friendly,speak
Repetition,Block1,x060gentle.wav,gentle,speak
Repetition,Block1,x058glory.wav,glory,speak
Repetition,Block1,x040handsome.wav,handsome,speak
Repetition,Block1,x066honest.wav,honest,speak
Repetition,Block1,x006hostile.wav,hostile,speak
Repetition,Block1,x076husband.wav,husband,speak
Repetition,Block1,x094incomplete.wav,incomplete,speak
Repetition,Block1,x011innermost.wav,innermost,speak
Repetition,Block1,x104input.wav,input,speak
Repetition,Block1,x029insider.wav,insider,speak
Repetition,Block1,x100jolly.wav,jolly,speak
Repetition,Block1,x095joy.wav,joy,speak
Repetition,Block1,x085joyful.wav,joyful,speak
Repetition,Block1,x001justice.wav,justice,speak
Repetition,Block1,x084lion.wav,lion,speak
Repetition,Block1,x034liquid.wav,liquid,speak
Repetition,Block1,x069loneliness.wav,loneliness,speak
Repetition,Block1,x041lonely.wav,lonely,speak
Repetition,Block1,x016loser.wav,loser,speak
Repetition,Block1,x014loved.wav,loved,speak
Repetition,Block1,x074luxury.wav,luxury,speak
Repetition,Block1,x068mad.wav,mad,speak
Repetition,Block1,x063minus.wav,minus,speak
Repetition,Block1,x004misery.wav,misery,speak
Repetition,Block1,x072mistake.wav,mistake,speak
Repetition,Block1,x039nail.wav,nail,speak
Repetition,Block1,x089noisy.wav,noisy,speak
Repetition,Block1,x022oasis.wav,oasis,speak
Repetition,Block1,x052odd.wav,odd,speak
Repetition,Block1,x027pain.wav,pain,speak
Repetition,Block1,x070paradise.wav,paradise,speak
Repetition,Block1,x086pedestrian.wav,pedestrian,speak
Repetition,Block1,x093penalty.wav,penalty,speak
Repetition,Block1,x056permanent.wav,permanent,speak
Repetition,Block1,x023poverty.wav,poverty,speak
Repetition,Block1,x081promotion.wav,promotion,speak
Repetition,Block1,x075protected.wav,protected,speak
Repetition,Block1,x017proud.wav,proud,speak
Repetition,Block1,x031quick.wav,quick,speak
Repetition,Block1,x043quiet.wav,quiet,speak
Repetition,Block1,x028respectful.wav,respectful,speak
Repetition,Block1,x030reward.wav,reward,speak
Repetition,Block1,x062rude.wav,rude,speak
Repetition,Block1,x026saint.wav,saint,speak
Repetition,Block1,x054satisfied.wav,satisfied,speak
Repetition,Block1,x092sick.wav,sick,speak
Repetition,Block1,x088sickness.wav,sickness,speak
Repetition,Block1,x053slave.wav,slave,speak
Repetition,Block1,x019smile.wav,smile,speak
Repetition,Block1,x059starving.wav,starving,speak
Repetition,Block1,x067stereo.wav,stereo,speak
Repetition,Block1,x080stiff.wav,stiff,speak
Repetition,Block1,x105success.wav,success,speak
Repetition,Block1,x051summer.wav,summer,speak
Repetition,Block1,x091symmetry.wav,symmetry,speak
Repetition,Block1,x102thief.wav,thief,speak
Repetition,Block1,x064thoughtful.wav,thoughtful,speak
Repetition,Block1,x097treasure.wav,treasure,speak
Repetition,Block1,x033troubled.wav,troubled,speak
Repetition,Block1,x042trust.wav,trust,speak
Repetition,Block1,x024ugly.wav,ugly,speak
Repetition,Block1,x018unfaithful.wav,unfaithful,speak
Repetition,Block1,x047unhappy.wav,unhappy,speak
Repetition,Block1,x087untroubled.wav,untroubled,speak
Repetition,Block1,x007venom.wav,venom,speak
Repetition,Block1,x079war.wav,war,speak
Repetition,Block1,x057warm.wav,warm,speak
Repetition,Block1,x021wealthy.wav,wealthy,speak
Repetition,Block1,x049win.wav,win,speak
Repetition,Block1,x036window.wav,window,speak
Repetition,Block1,x010wise.wav,wise,speak
