task,block,file,word,condition
Generation,Block2,x107addition.wav,addition,sing
Generation,Block2,x191adorable.wav,adorable,sing
Generation,Block2,x156afraid.wav,afraid,sing
Generation,Block2,x171alive.wav,alive,sing
Generation,Block2,x199angel.wav,angel,sing
Generation,Block2,x159animate.wav,animate,sing
Generation,Block2,x187arm.wav,arm,sing
Generation,Block2,x131atypical.wav,atypical,sing
Generation,Block2,x111bright.wav,bright,sing
Generation,Block2,x178carefree.wav,carefree,sing
Generation,Block2,x206catch.wav,catch,sing
Generation,Block2,x172circle.wav,circle,sing
Generation,Block2,x195cold.wav,cold,sing
Generation,Block2,x207component.wav,component,sing
Generation,Block2,x123coward.wav,coward,sing
Generation,Block2,x179cruel.wav,cruel,sing
Generation,Block2,x186danger.wav,danger,sing
Generation,Block2,x197dead.wav,dead,sing
Generation,Block2,x184death.wav,death,sing
Generation,Block2,x174debt.wav,debt,sing
Generation,Block2,x185deep.wav,deep,sing
Generation,Block2,x128demon.wav,demon,sing
Generation,Block2,x152depressed.wav,depressed,sing
Generation,Block2,x110devil.wav,devil,sing
Generation,Block2,x175devoted.wav,devoted,sing
Generation,Block2,x142discomfort.wav,discomfort,sing
Generation,Block2,x130displeased.wav,displeased,sing
Generation,Block2,x143exotic.wav,exotic,sing
Generation,Block2,x188fat.wav,fat,sing
Generation,Block2,x129fauna.wav,fauna,sing
Generation,Block2,x138filth.wav,filth,sing
Generation,Block2,x150firm.wav,firm,sing
Generation,Block2,x136flat.wav,flat,sing
Generation,Block2,x160fork.wav,fork,sing
Generation,Block2,x112freedom.wav,freedom,sing
Generation,Block2,x127friendly.wav,friendly,sing
Generation,Block2,x210greatful.wav,grateful,sing
Generation,Block2,x140happy.wav,happy,sing
Generation,Block2,x149hard.wav,hard,sing
Generation,Block2,x209hatred.wav,hatred,sing
Generation,Block2,x204hell.wav,hell,sing
Generation,Block2,x161helpless.wav,helpless,sing
Generation,Block2,x194honor.wav,honor,sing
Generation,Block2,x134humid.wav,humid,sing
Generation,Block2,x198implosion.wav,implosion,sing
Generation,Block2,x139impotent.wav,impotent,sing
Generation,Block2,x165incomplete.wav,incomplete,sing
Generation,Block2,x196indoor.wav,indoor,sing
Generation,Block2,x147insecure.wav,insecure,sing
Generation,Block2,x162insider.wav,insider,sing
Generation,Block2,x109joy.wav,joy,sing
Generation,Block2,x119joyful.wav,joyful,sing
Generation,Block2,x192liberty.wav,liberty,sing
Generation,Block2,x154liquid.wav,liquid,sing
Generation,Block2,x141loneliness.wav,loneliness,sing
Generation,Block2,x173loyal.wav,loyal,sing
Generation,Block2,x116mad.wav,mad,sing
Generation,Block2,x132matriarch.wav,matriarch,sing
Generation,Block2,x117mentor.wav,mentor,sing
Generation,Block2,x176millionaire.wav,millionaire,sing
Generation,Block2,x167misery.wav,misery,sing
Generation,Block2,x180nail.wav,nail,sing
Generation,Block2,x157oasis.wav,oasis,sing
Generation,Block2,x203odd.wav,odd,sing
Generation,Block2,x108outdoor.wav,outdoor,sing
Generation,Block2,x144outward.wav,outward,sing
Generation,Block2,x118pain.wav,pain,sing
Generation,Block2,x135paradise.wav,paradise,sing
Generation,Block2,x177penalty.wav,penalty,sing
Generation,Block2,x121permanent.wav,permanent,sing
Generation,Block2,x189pleasure.wav,pleasure,sing
Generation,Block2,x151poverty.wav,poverty,sing
Generation,Block2,x145promotion.wav,promotion,sing
Generation,Block2,x114protected.wav,protected,sing
Generation,Block2,x133quick.wav,quick,sing
Generation,Block2,x181rejected.wav,rejected,sing
Generation,Block2,x201reward.wav,reward,sing
Generation,Block2,x183rotten.wav,rotten,sing
Generation,Block2,x158saint.wav,saint,sing
Generation,Block2,x106slave.wav,slave,sing
Generation,Block2,x148smile.wav,smile,sing
Generation,Block2,x168spacious.wav,spacious,sing
Generation,Block2,x122starving.wav,starving,sing
Generation,Block2,x146stench.wav,stench,sing
Generation,Block2,x193stiff.wav,stiff,sing
Generation,Block2,x115stress.wav,stress,sing
Generation,Block2,x155stupid.wav,stupid,sing
Generation,Block2,x125symmetry.wav,symmetry,sing
Generation,Block2,x182teacher.wav,teacher,sing
Generation,Block2,x126thankful.wav,thankful,sing
Generation,Block2,x166thief.wav,thief,sing
Generation,Block2,x124thoughtful.wav,thoughtful,sing
Generation,Block2,x113tragedy.wav,tragedy,sing
Generation,Block2,x163triumph.wav,triumph,sing
Generation,Block2,x170troubled.wav,troubled,sing
Generation,Block2,x190ugly.wav,ugly,sing
Generation,Block2,x208unfaithful.wav,unfaithful,sing
Generation,Block2,x205untroubled.wav,untroubled,sing
Generation,Block2,x200useless.wav,useless,sing
Generation,Block2,x153vacation.wav,vacation,sing
Generation,Block2,x120war.wav,war,sing
Generation,Block2,x137wealthy.wav,wealthy,sing
Generation,Block2,x169wedding.wav,wedding,sing
Generation,Block2,x202western.wav,western,sing
Generation,Block2,x164wise.wav,wise,sing
