task,block,file,word,condition
Generation,Block2,x107addition.wav,addition,speak
Generation,Block2,x191adorable.wav,adorable,speak
Generation,Block2,x156afraid.wav,afraid,speak
Generation,Block2,x171alive.wav,alive,speak
Generation,Block2,x199angel.wav,angel,speak
Generation,Block2,x159animate.wav,animate,speak
Generation,Block2,x187arm.wav,arm,speak
Generation,Block2,x131atypical.wav,atypical,speak
Generation,Block2,x111bright.wav,bright,speak
Generation,Block2,x178carefree.wav,carefree,speak
Generation,Block2,x206catch.wav,catch,speak
Generation,Block2,x172circle.wav,circle,speak
Generation,Block2,x195cold.wav,cold,speak
Generation,Block2,x207component.wav,component,speak
Generation,Block2,x123coward.wav,coward,speak
Generation,Block2,x179cruel.wav,cruel,speak
Generation,Block2,x186danger.wav,danger,speak
Generation,Block2,x197dead.wav,dead,speak
Generation,Block2,x184death.wav,death,speak
Generation,Block2,x174debt.wav,debt,speak
Generation,Block2,x185deep.wav,deep,speak
Generation,Block2,x128demon.wav,demon,speak
Generation,Block2,x152depressed.wav,depressed,speak
Generation,Block2,x110devil.wav,devil,speak
Generation,Block2,x175devoted.wav,devoted,speak
Generation,Block2,x142discomfort.wav,discomfort,speak
Generation,Block2,x130displeased.wav,displeased,speak
Generation,Block2,x143exotic.wav,exotic,speak
Generation,Block2,x188fat.wav,fat,speak
Generation,Block2,x129fauna.wav,fauna,speak
Generation,Block2,x138filth.wav,filth,speak
Generation,Block2,x150firm.wav,firm,speak
Generation,Block2,x136flat.wav,flat,speak
Generation,Block2,x160fork.wav,fork,speak
Generation,Block2,x112freedom.wav,freedom,speak
Generation,Block2,x127friendly.wav,friendly,speak
Generation,Block2,x210greatful.wav,grateful,speak
Generation,Block2,x140happy.wav,happy,speak
Generation,Block2,x149hard.wav,hard,speak
Generation,Block2,x209hatred.wav,hatred,speak
Generation,Block2,x204hell.wav,hell,speak
Generation,Block2,x161helpless.wav,helpless,speak
Generation,Block2,x194honor.wav,honor,speak
Generation,Block2,x134humid.wav,humid,speak
Generation,Block2,x198implosion.wav,implosion,speak
Generation,Block2,x139impotent.wav,impotent,speak
Generation,Block2,x165incomplete.wav,incomplete,speak
Generation,Block2,x196indoor.wav,indoor,speak
Generation,Block2,x147insecure.wav,insecure,speak
Generation,Block2,x162insider.wav,insider,speak
Generation,Block2,x109joy.wav,joy,speak
Generation,Block2,x119joyful.wav,joyful,speak
Generation,Block2,x192liberty.wav,liberty,speak
Generation,Block2,x154liquid.wav,liquid,speak
Generation,Block2,x141loneliness.wav,loneliness,speak
Generation,Block2,x173loyal.wav,loyal,speak
Generation,Block2,x116mad.wav,mad,speak
Generation,Block2,x132matriarch.wav,matriarch,speak
Generation,Block2,x117mentor.wav,mentor,speak
Generation,Block2,x176millionaire.wav,millionaire,speak
Generation,Block2,x167misery.wav,misery,speak
Generation,Block2,x180nail.wav,nail,speak
Generation,Block2,x157oasis.wav,oasis,speak
Generation,Block2,x203odd.wav,odd,speak
Generation,Block2,x108outdoor.wav,outdoor,speak
Generation,Block2,x144outward.wav,outward,speak
Generation,Block2,x118pain.wav,pain,speak
Generation,Block2,x135paradise.wav,paradise,speak
Generation,Block2,x177penalty.wav,penalty,speak
Generation,Block2,x121permanent.wav,permanent,speak
Generation,Block2,x189pleasure.wav,pleasure,speak
Generation,Block2,x151poverty.wav,poverty,speak
Generation,Block2,x145promotion.wav,promotion,speak
Generation,Block2,x114protected.wav,protected,speak
Generation,Block2,x133quick.wav,quick,speak
Generation,Block2,x181rejected.wav,rejected,speak
Generation,Block2,x201reward.wav,reward,speak
Generation,Block2,x183rotten.wav,rotten,speak
Generation,Block2,x158saint.wav,saint,speak
Generation,Block2,x106slave.wav,slave,speak
Generation,Block2,x148smile.wav,smile,speak
Generation,Block2,x168spacious.wav,spacious,speak
Generation,Block2,x122starving.wav,starving,speak
Generation,Block2,x146stench.wav,stench,speak
Generation,Block2,x193stiff.wav,stiff,speak
Generation,Block2,x115stress.wav,stress,speak
Generation,Block2,x155stupid.wav,stupid,speak
Generation,Block2,x125symmetry.wav,symmetry,speak
Generation,Block2,x182teacher.wav,teacher,speak
Generation,Block2,x126thankful.wav,thankful,speak
Generation,Block2,x166thief.wav,thief,speak
Generation,Block2,x124thoughtful.wav,thoughtful,speak
Generation,Block2,x113tragedy.wav,tragedy,speak
Generation,Block2,x163triumph.wav,triumph,speak
Generation,Block2,x170troubled.wav,troubled,speak
Generation,Block2,x190ugly.wav,ugly,speak
Generation,Block2,x208unfaithful.wav,unfaithful,speak
Generation,Block2,x205untroubled.wav,untroubled,speak
Generation,Block2,x200useless.wav,useless,speak
Generation,Block2,x153vacation.wav,vacation,speak
Generation,Block2,x120war.wav,war,speak
Generation,Block2,x137wealthy.wav,wealthy,speak
Generation,Block2,x169wedding.wav,wedding,speak
Generation,Block2,x202western.wav,western,speak
Generation,Block2,x164wise.wav,wise,speak
